course_id|title|description|difficulty|platform_id|institution_id|rating|url|num_enrollments
13|DeepLearning.AI Data Analytics Professional Certificate|Statistics for real-world decision-making. Learn to calculate and interpret descriptive and inferential statistics to solve business problems.|Beginner|1|8|4.8|https://www.coursera.org/professional-certificates/data-analytics|7529
14|Microsoft Generative AI for Data Analysis Professional Certificate|Apply generative AI techniques to optimize data processing, cleaning, and preparation for analysis.|Intermediate|1|1|4.4|https://www.coursera.org/professional-certificates/microsoft-genai-for-data-analysis|5518
15|Data Analysis with Python|Develop Python code for cleaning and preparing data for analysis - including handling missing values, formatting, normalizing, and binning data|Intermediate|1|3|4.7|https://www.coursera.org/learn/data-analysis-with-python|529422
16|Preparatory Certificate in Finance and Financial Markets Specialization|Analyze Financial Statements and Growth Drivers,  Apply Corporate Finance and Risk Management Principles, and understand ESG and Financial Market Fundamentals|Beginner|1|9|4.7|https://www.coursera.org/specializations/finance-and-financial-markets|7550
17|Finance & Quantitative Modeling for Analysts Specialization|Harness the power of spreadsheets to map and predict data|Beginner|1|4|4.5|https://www.coursera.org/specializations/finance-quantitative-modeling-analysts|51591
18|Corporate Finance Fundamentals|N/A|Beginner|1|9|4.7|https://www.coursera.org/learn/corporate-finance-fundamentals|8178
19|Foundational Finance for Strategic Decision Making Specialization|Understand the sources of value of companies|Beginner|1|2|4.8|https://www.coursera.org/specializations/foundational-finance|21904
20|Essentials of Corporate Finance Specialization|N/A|Intermediate|1|10|4.7|https://www.coursera.org/specializations/learn-finance|28545
21|Introduction to Finance and Accounting Specialization|Discounting and compounding arbitrary cash flow streams in order to value different claims and make better financial decisions.|Beginner|1|4|4.4|https://www.coursera.org/specializations/finance-accounting|81308
22|The Fundamentals of Personal Finance Specialization|N/A|Beginner|1|11|4.6|https://www.coursera.org/specializations/personal-finance-fundamentals|16949
23|Business Finance and Data Analysis Fundamentals Specialization|Construct financial statements|Beginner|1|12|4.6|https://www.coursera.org/specializations/pre-mba-quantitative-skills|6309
24|Finance for Everyone Specialization|N/A|Beginner|1|13|4.7|https://www.coursera.org/specializations/finance-for-everyone|22533
25|Introduction to Corporate Finance|N/A||1|4|4.6|https://www.coursera.org/learn/wharton-finance|243069
26|ChatGPT: Excel at Personal Automation with GPTs, AI & Zapier Specialization|Leverage Prompt Engineering to analyze, write, plan, tap into expertise, and more|Beginner|1|5|4.9|https://www.coursera.org/specializations/chatgpt-gpt-zapier-excel-at-automation|5456
27|Generative AI Assistants Specialization|N/A|Beginner|1|5|4.9|https://www.coursera.org/specializations/generative-ai-assistants|6894
28|Prompt Engineering for ChatGPT|How to apply prompt engineering to effectively work with large language models, like ChatGPT|Beginner|1|5|4.8|https://www.coursera.org/learn/prompt-engineering|441163
29|ChatGPT: Master Free AI Tools to Supercharge Productivity Specialization|Use ChatGPT to plan, analyze, write, and enhance your workflows|Beginner|1|5|4.9|https://www.coursera.org/specializations/chatgpt-free-ai-tools-to-excel|14153
30|OpenAI GPTs: Creating Your Own Custom AI Assistants|N/A|Beginner|1|5|4.9|https://www.coursera.org/learn/openai-custom-gpts|28956
61|Bring Your Story to Life – Video Post-Production|Create a “paper edit” using time code in their script.|Beginner|1|21|4.7|https://www.coursera.org/learn/bringing-your-story-to-life|7369
31|ChatGPT for Project Management - Leveraging AI for Success Specialization|How to use ChatGPT to aid project planning, tracking of execution, team meetings, and more|Beginner|1|5|4.8|https://www.coursera.org/specializations/chatgpt-project-management|6926
32|Generative AI Automation Specialization|N/A|Beginner|1|5|4.9|https://www.coursera.org/specializations/generative-ai-automation|11754
33|ChatGPT Advanced Data Analysis|Automate tasks in your work and life with ChatGPT Code Interpreter|Beginner|1|5|4.8|https://www.coursera.org/learn/chatgpt-advanced-data-analysis|89595
34|Generative AI and ChatGPT for K-12 Educators Specialization|Create AI-Enhanced Lesson Plans and Activities – Design engaging, personalized learning experiences using generative AI.|Beginner|1|5|4.9|https://www.coursera.org/specializations/generative-ai-k12-educators|0
35|Generative AI Data Analyst Specialization|Use ChatGPT and generative AI tools to clean, analyze, and visualize data from spreadsheets, databases, and unstructured sources.|Beginner|1|5|4.9|https://www.coursera.org/specializations/generative-ai-data-analyst|1849
36|Generative AI for Educators & Teachers Specialization|N/A|Beginner|1|5|4.9|https://www.coursera.org/specializations/generative-ai-for-educators-teachers|6988
37|GPT Vision: Seeing the World through Generative AI|Take a picture of notes on a marker board, receipts, or napkin sketches and watch them be turned into well-organized notes and emailed to you|Beginner|1|5|4.9|https://www.coursera.org/learn/gpt-vision|12576
38|IBM Generative AI Engineering Professional Certificate|Job-ready skills employers are crying out for in gen AI, machine learning, deep learning, NLP apps, and large language models in just 6 months.|Beginner|1|3|4.7|https://www.coursera.org/professional-certificates/ibm-generative-ai-engineering|27842
39|ChatGPT - Usos y Estrategias|Aplicación de estrategias de uso chatGPT en la educación y mundo laboral, para el uso ético y para desarrollar habilidades profesionales con IA.|Beginner|1|14|4.9|https://www.coursera.org/learn/chat-gpt|23313
40|Google UX Design Professional Certificate|Follow the design process: empathize with users, define pain points, ideate solutions, create wireframes and prototypes, test and iterate on designs|Beginner|1|7|4.8|https://www.coursera.org/professional-certificates/google-ux-design|1183355
41|Figma for UI/UX: Master Web Design in Figma|Master Figma’s interface and essential tools for web design.|Intermediate|1|15|4.2|https://www.coursera.org/learn/packt-figma-for-ui-ux-master-web-design-in-figma-essgs|1523
42|Microsoft UX Design Professional Certificate|Define the core principles of UX, Human-Centered Design, and design thinking frameworks, and identify UX team roles and user research methods.|Beginner|1|1|4.7|https://www.coursera.org/professional-certificates/ux-design|16030
43|Meta Front-End Developer Professional Certificate|Create a responsive website using HTML to structure content, CSS to handle visual style, and JavaScript to develop interactive experiences.|Beginner|1|16|4.7|https://www.coursera.org/professional-certificates/meta-front-end-developer|365500
44|GenAI for UX Designers|Identify specific methods and techniques for leveraging GenAI to enhance user research, wireframing, and prototyping.|Beginner|1|17|4.3|https://www.coursera.org/learn/genai-for-ux-designers|5233
45|Create High-Fidelity Designs and Prototypes in Figma|Build mockups and high-fidelity prototypes in the design tool Figma.|Beginner|1|7|4.8|https://www.coursera.org/learn/high-fidelity-designs-prototype|274298
46|Build Websites with Figma, HTML, and CSS|Create user interfaces from mockups.|Intermediate|1|18||https://www.coursera.org/learn/from-figma-to-code|0
47|Build Wireframes and Low-Fidelity Prototypes|Create storyboards to come up with ideas about solutions to user needs.|Beginner|1|7|4.9|https://www.coursera.org/learn/wireframes-low-fidelity-prototypes|355586
48|Microsoft Front-End Developer Professional Certificate|Demonstrate proficiency in the design, implementation, and optimization of responsive digital interfaces using core front-end development principles.|Beginner|1|1|4.7|https://www.coursera.org/professional-certificates/microsoft-front-end-developer|5326
49|Designing User Interfaces and Experiences (UI/UX)|Explain design, UI/UX concepts, best practices of visual development, and the key duties and responsibilities of a UI/UX designer.|Beginner|1|3|4.5|https://www.coursera.org/learn/designing-user-interfaces-and-experiences-uiux|21644
50|Decentralized Finance (DeFi): The Future of Finance Specialization|Learners will have a much deeper understanding of both the infrastructure of decentralized finance and the leading applications.|Intermediate|1|19|4.8|https://www.coursera.org/specializations/decentralized-finance-duke|34730
51|Financial Management Specialization|Analyze and interpret income statements, balance sheets, and cash flow statements to understand a company's financial performance.|Beginner|1|19|4.8|https://www.coursera.org/specializations/business-financial-management|3428
52|Financial Markets|N/A|Beginner|1|20|4.8|https://www.coursera.org/learn/financial-markets-global|2209439
53|Finance for Non-Finance Professionals|N/A|Beginner|1|12|4.8|https://www.coursera.org/learn/finance-for-non-finance|186846
54|Behavioral Finance|N/A|Beginner|1|19|4.4|https://www.coursera.org/learn/duke-behavioral-finance|188265
55|The Art of Visual Storytelling Specialization|Create a proposal for a video project that includes specific elements of production.|Beginner|1|21|4.7|https://www.coursera.org/specializations/the-art-of-visual-storytelling|14291
56|VR and 360 Video Production|N/A|Beginner|1|22|4.7|https://www.coursera.org/learn/360-vr-video-production|36734
57|Adobe Content Creator Professional Certificate|Understand the principles of visual storytelling and design as well as how to effectively communicate ideas through your content.|Beginner|1|6|4.7|https://www.coursera.org/professional-certificates/adobe-content-creator|24636
58|Fundamentals of Digital Image and Video Processing|N/A||1|23|4.6|https://www.coursera.org/learn/digital|144874
59|Mastering Final Cut Pro|Create and edit video using Final Cut Pro|Beginner|1|24|4.4|https://www.coursera.org/learn/mastering-final-cut-pro|54882
60|Epic Games Game Design Professional Certificate|Craft an unforgettable game experience through game ideation, balancing, and design methodologies.|Beginner|1|25|4.2|https://www.coursera.org/professional-certificates/epic-games-game-design-professional-certificate|16380
62|Trading Strategies in Emerging Markets Specialization|N/A|Beginner|1|26|4.3|https://www.coursera.org/specializations/trading-strategy|75383
63|Microsoft Business Analyst Professional Certificate|Identify, analyze, and document business problems and opportunities using various requirements-gathering techniques.|Beginner|1|1|4.6|https://www.coursera.org/professional-certificates/microsoft-business-analyst|52319
64|Introduction to Market Research|N/A|Intermediate|1|17|4.6|https://www.coursera.org/learn/introduction-to-market-research|2787
65|Google Digital Marketing & E-commerce Professional Certificate|Learn the fundamentals of digital marketing and e-commerce to gain the skills needed to land an entry-level job|Beginner|1|7|4.8|https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce|971692
66|Investment and Portfolio Management Specialization|N/A|Beginner|1|12|4.5|https://www.coursera.org/specializations/investment-portolio-management|76323
67|Oil & Gas Industry Operations and Markets|N/A||1|19|4.8|https://www.coursera.org/learn/oilandgas|154779
68|Adobe Marketing Specialist Professional Certificate|Develop essential social media skills to create standout projects using Adobe Express and other apps.|Beginner|1|6|4.8|https://www.coursera.org/professional-certificates/adobe-marketing-specialist|8263
69|The Strategy of Content Marketing|N/A|Intermediate|1|27|4.5|https://www.coursera.org/learn/content-marketing|660341
70|Chinese for Beginners|N/A||1|28|4.8|https://www.coursera.org/learn/learn-chinese|1421847
71|Machine Learning for Trading Specialization|Understand the structure and techniques used in machine learning, deep learning, and reinforcement learning (RL) strategies.|Intermediate|1|29|3.9|https://www.coursera.org/specializations/machine-learning-trading|36707
72|Practical Guide to Trading Specialization|Understand the interconnectedness of the global capital markets|Beginner|1|30|4.4|https://www.coursera.org/specializations/financial-instruments-trading-investing|46635
73|Forex - Trading Around the World|Explore the FX market such as its participants and motives, products, risks, margin accounts, related trading platform methods and tools.|Beginner|1|30|4.4|https://www.coursera.org/learn/forex-trading|30142
74|Introduction to Trading, Machine Learning & GCP|Understand the fundamentals of trading, including the concepts of trend, returns, stop-loss, and volatility.|Intermediate|1|29|4|https://www.coursera.org/learn/introduction-trading-machine-learning-gcp|60466
75|Trading Basics|N/A|Beginner|1|26|4|https://www.coursera.org/learn/trading-basics|195771
76|Trading Algorithms|N/A|Intermediate|1|26|4.5|https://www.coursera.org/learn/trading-algorithm|62008
77|Advanced Trading Algorithms|N/A|Intermediate|1|26|4.6|https://www.coursera.org/learn/advanced-trading-algorithms|37893
78|Machine Learning Specialization|Build ML models with NumPy & scikit-learn, build & train supervised models for prediction & binary classification tasks (linear, logistic regression)|Beginner|1|31|4.9|https://www.coursera.org/specializations/machine-learning-introduction|612137
79|Microsoft Python Development Professional Certificate|Gain a strong foundation in Python syntax, data structures, and control flow, enabling you to write clean and efficient code.|Beginner|1|1|4.3|https://www.coursera.org/professional-certificates/microsoft-python-developer|23912
80|Deep Learning Specialization|Build and train deep neural networks, identify key architecture parameters, implement vectorized neural networks and deep learning to applications|Intermediate|1|8|4.9|https://www.coursera.org/specializations/deep-learning|917037
81|Python for Data Science, AI & Development|Learn Python - the most popular programming language and for Data Science and Software Development.|Beginner|1|3|4.6|https://www.coursera.org/learn/python-for-applied-data-science-ai|1167322
82|Meta Back-End Developer Professional Certificate|Gain the technical skills required to become a qualified back-end developer|Beginner|1|16|4.7|https://www.coursera.org/professional-certificates/meta-back-end-developer|158643
83|IBM Full Stack Software Developer Professional Certificate|Develop with front-end development languages and tools such as HTML, CSS, JavaScript, React and Bootstrap|Beginner|1|3|4.6|https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer|217353
84|Databases and SQL for Data Science with Python|Analyze data within a database using SQL and Python.|Beginner|1|3|4.7|https://www.coursera.org/learn/sql-data-science|546043
85|Google Cybersecurity Professional Certificate|Understand the importance of cybersecurity practices and their impact for organizations.|Beginner|1|7|4.8|https://www.coursera.org/professional-certificates/google-cybersecurity|921168
86|Create your e-commerce store with Shopify|Create an online e-commerce store with Shopify|Beginner|1|32||https://www.coursera.org/projects/create-your-ecommerce-store-with-shopify|55137
87|Make the Sale: Build, Launch, and Manage E-commerce Stores|Understand essential e-commerce strategies and practices|Beginner|1|7|4.8|https://www.coursera.org/learn/make-the-sale|172568
88|Attract and Engage Customers with Digital Marketing|Recognize strategies to build brand awareness among potential customers|Beginner|1|7|4.8|https://www.coursera.org/learn/attract-and-engage-customers|410369
89|Create and Design Digital Products using Canva|Create a workbook for digital courses.|Advanced|1|32||https://www.coursera.org/projects/create-design-digital-products-canva|85072
90|Foundations of Digital Marketing and E-commerce|Define the fields of digital marketing and e-commerce|Beginner|1|7|4.8|https://www.coursera.org/learn/foundations-of-digital-marketing-and-e-commerce|1306676
91|Think Outside the Inbox: Email Marketing|Understand how email marketing fits into a digital marketing strategy|Beginner|1|7|4.8|https://www.coursera.org/learn/think-outside-the-inbox|207478
92|Developing Front-End Apps with React|Develop interactive user interfaces (UIs) and web applications using JavaScript technologies including React, JSX, and ES6.|Intermediate|1|3|4.3|https://www.coursera.org/learn/developing-frontend-apps-with-react|85817
93|Build a Full Website using WordPress|Create a new website for development in WordPress.|Advanced|1|32||https://www.coursera.org/projects/build-a-full-website-using-wordpress|198630
94|Google Marketing Digital e E-Commerce Professional Certificate|Aprende los fundamentos del marketing digital y comercio electrónico y adquiere las habilidades necesarias para conseguir un trabajo de nivel inicial|Beginner|1|7|4.9|https://www.coursera.org/professional-certificates/certificado-de-carrera-de-google-marketing-digital-e-e-commerce|58631
95|iOS App Development with Swift Specialization|N/A|Intermediate|1|33|4|https://www.coursera.org/specializations/app-development|28634
96|Programming Fundamentals in Swift|General programming principles|Beginner|1|16|4.7|https://www.coursera.org/learn/programming-fundamentals-swift|15104
97|Swift 5 iOS Application Developer Specialization|How to setup your environment and develop code in Swift 5|Beginner|1|24|4.5|https://www.coursera.org/specializations/swift-5-ios-app-developer|17439
98|Advanced Programming in Swift|Implement an iOS application with search and filtering capabilities.|Intermediate|1|16|4.7|https://www.coursera.org/learn/advanced-programming-in-swift|8205
99|Meta iOS Developer Professional Certificate|Gain the skills required for an entry-level career as an iOS developer.|Beginner|1|16|4.6|https://www.coursera.org/professional-certificates/meta-ios-developer|49911
100|Introduction to iOS Mobile Application Development|iOS mobile app development|Beginner|1|16|4.6|https://www.coursera.org/learn/introduction-to-ios-mobile-application-development|52043
101|Introduction To Swift Programming|N/A||1|33|3.9|https://www.coursera.org/learn/swift-programming|79532
102|SwiftUI - The Complete iOS 17 Reference Library of Code Specialization|Identify key features of SwiftUI and iOS 17 integration for app development|Beginner|1|15||https://www.coursera.org/specializations/packt-swiftui-the-complete-ios-17-reference-library-of-code|0
103|IBM iOS and Android Mobile App Developer Professional Certificate|Job-ready, in-demand cross-platform mobile app development skills employers need, with a portfolio you can talk about in interviews|Beginner|1|3|4.7|https://www.coursera.org/professional-certificates/ibm-ios-android-mobile-app-developer-pc|9258
104|Create the User Interface with SwiftUI|UI development|Beginner|1|16|4.7|https://www.coursera.org/learn/create-the-user-interface-with-swiftui|9769
